Palabra,Descripción,Categoría,Sinónimos,Antónimos
BINOCULAR,Instrumento óptico que se emplea para ver de cerca objetos lejanos.,sust. m.,"Binocular, anteojos de larga vista.",
BÍO-BÍO,"El río más ancho de Chile, que está ubicado en Concepción en la Región de su mismo nombre.",sust. p.,Bío-bío.,
BIOLOGÍA,Ciencia que estudia los seres vivos.,sust. f.,Biología.,
BISABUELO/A,Abuelo o abuela de la madre o el padre.,sust. m. y f.,Bisabuelo.,
BISNIETO/A,Hijo o hija del nieto o de la nieta.,sust. m. y f.,Bisnieto.,
BLANCO/A,Lonja de carne de vaca que se sirve asada en parrilla o frita.,sust. m.,Bistec.,
BIZCOCHO,"Masa esponjosa de harina, huevos y azúcar que se cuece en el horno.",sust. m.,"Bizcocho, bizcochuelo.",
BLANCO/A,Del color de la nieve o la leche.,adj.,albo.,
BLANDO/A,Que cede fácilmente al tacto.,adj.,"Blando, tierno, suave.","Duro, resistente, consistente, macizo."
BLUSA,"Prenda abotonada, de tela fina que usan las mujeres.",sust. f.,Blusa.,
BOCHORNO,"Enrojecimiento, encendimiento pasajero del rostro.",sust. m.,"Bochorno, calor, sofoco.",
BOCINA,Instrumento que se hace sonar mecánicamente en los autos y otros vehículos.,sust. f.,"Bocina, claxon.",
BOLETA,Comprobante de pago.,sust. f.,"Boleta, comprobante, recibo.",
BOLETERÍA,Lugar donde se venden boletos.,sust. f.,"Boletería, taquilla, ventanilla.",
BOLETO,"Tarjeta que da derecho a entrar en algún sitio, viajar en tren o bus.",sust. m.,Boleto.,
BOLITA,"Juego de niños que se hace con bolitas de barro, vidrio u otra materia dura.",sust. f.,"Bolita, canica, bola.",
BOLIVIA,"País de América del sur. Limita al oeste con Perú y Chile, al norte y al este con Brasil, al sur con Paraguay y Argentina. Su capital constitucional es Sucre y su sede de gobierno es La Paz",sust. p.,Bolivia,
BOLSILLO,Bolsa pequeña cosida en la ropa para guardar en ella los objetos de uso frecuente.,sust. m.,Bolsillo.,
BOLSO,"Bolsa de mano, de cuero o tela, con asa, usada para llevar objetos no muy grandes.",sust. m.,"Bolso, bolsón, maletín.",
BOMBERO,Persona encargada de apagar los incendios.,sust. m.,Bombero.,
BOMBILLA,Caña delgada que se usa para sorber líquidos.,sust. f.,"Bombilla, pajita, pajilla.",
BOMBÓN,Pieza pequeña de chocolate rellena con licor o crema dulce.,sust. m.,Bombón.,
BONITO/A,"Lindo, agraciado, de cierta proporción y belleza.",adj.,"Bonito, bello, hermoso, lindo.","Feo, horrible."
BORDAR,Verbo pleno Adornar una tela formando figuras con aguja y diversas clases de hilos.,v. tr.,"Bordar, coser.",
BORRACHO/A,Embriagado por haber tomado en exceso bebida alcohólica.,adj.,"Borracho, ebrio, embriagado, curado, bebido.","Abstemio, sobrio."
BORRADOR,Utensilio que sirve para borrar en una pizarra. ,sust. m.,Borrador.,
BORROSO/A,Que no se distingue con claridad.,adj.,"Borroso, difuso.",
BOSTEZAR,"Verbo pleno Acto en que, abriendo la boca, se inspira lenta y profundamente, luego se espira también lentamente y generalmente con ruido. Es indicio de sueño, aburrimiento o debilidad.",v. intr.,Bostezar,
BOTA,Calzado que cubre el pie y parte de la pierna.,sust. f.,Bota.,
BOTA-CON-TACO,"Calzado con taco alto, que cubre el pie y parte de la pierna.",sust. f.,Bota.,
BOTAR,Verbo espacial locativo Desechar o eliminar una cosa.,v. tr.,"Botar, tirar, echar, arrojar, lanzar.","Recoger, tomar."
BOTE,"Barco pequeño y sin cubierta, cruzado de tablones que sirven de asiento a los que reman.",sust. m.,"Bote, barca, barcaza.",
BOTELLA,"Recipiente de vidrio o plástico, con cuello angosto, para contener líquidos.",sust. f.,"Botella, envase.",
BOTIQUÍN,"Mueble, maleta o caja que se usa para guardar medicinas.",sust. m.,Botiquín.,
BOTÓN,"Pieza pequeña, plana o globosa, para abrochar las ropas.",sust. m.,Botón.,
BOXEO,"Deporte que consiste en la lucha de dos púgiles, con las manos enfundadas en guantes especiales, en un cuadrilátero rodeado de cuerdas.",sust. m.,"Boxeo, contienda, combate, pugilismo.",
BRASERO,Pieza de metal honda en la cual se echa brasas para calentarse.,sust. m.,"Brasero, calentador, lumbre.",
BRASIL,"El país más extenso de América del Sur, donde se encuentra la selva Amazónica. Limita principalmente con Colombia, Venezuela, Uruguay, Argentina y Perú. Su capital es Brasilia.",sust. p.,Brasil.,
BRILLANTE,"Que brilla, que refleja luz.",adj.,"Brillante, resplandeciente, lustroso.","Opaco, mate, apagado, deslucido."
BRINDAR,"Verbo pleno Manifestar el bien que se desea a personas o cosas, cuando se bebe vino u otro licor.",v. intr.,"Brindar, hacer salud.",
BRISA,Viento suave.,sust. f.,Brisa.,
BROMA,"Acción que se hace a una persona, que no es en serio, sino por diversión. // 2. Gestos o palabras para poner en ridículo a personas.",sust. f.,"Broma, jugarreta, chiste, burla.",
BRONCE,Cuerpo metálico que resulta de la mezcla o aleación del cobre con el estaño y es de color parecido al oro.,sust. m.,Bronce.,
BRONQUITIS,Inflamación de la membrana mucosa de los bronquios. Puede producir mucha tos.,sust. f.,Bronquitis.,
BRUJO/A,Persona a la que se le atribuyen poderes mágicos.,sust. m. y f.,"Brujo, hechicero, mago, encantador.",
BRÚJULA,"Instrumento que indica los puntos cardinales de la superficie terrestre: norte, sur, este y oeste.",sust. f.,Brújula.,
BRUSCO/A,Manera de actuar repentina e inesperada.,adj.,"Brusco, violento, rudo, grosero, bruto, tosco.",
BUCEAR,Verbo espacial locativo Nadar con todo el cuerpo sumergido bajo el agua.,v. intr.,"Bucear, sumergirse, hundirse.","Emerger, flotar."
BUENAS-TARDES,Frase de cortesía utilizada para saludar o despedirse en la tarde.,loc.,Buenas tardes.,
BUENAS-NOCHES,Frase de cortesía utilizada para saludar o despedirse en la noche.,loc.,Buenas noches.,
BUENOS-AIRES,Capital de Argentina.,sust. p.,Buenos Aires.,
BUENOS-DÍAS,Frase de cortesía utilizada para saludar o despedirse durante las primeras horas del día.,loc.,"Buenos días, buen día.",
BUEY,"Vacuno castrado, generalmente se usa como animal de tiro en el campo.",sust. m.,"Buey, vacuno.",
BUFANDA,"Prenda, por lo común de lana o seda, con que se envuelve y abriga el cuello.",sust. f.,"Bufanda, pañuelo.",
BÚHO,"Ave rapaz nocturna, con pico corvo y ojos grandes.",sust. m.,"búho, lechuza.",
BURLAR/SE,Verbo pleno Hacer una acción con que se pone en ridículo a personas o cosas.,v. tr.,"Burlarse, mofarse, embromar.",
BURBUJA,Globo de aire que sube a la superficie de los líquidos.,sust. f.,"Burbuja, pompa.",
BURRO,"Mamífero más pequeño que el caballo, de orejas largas. Se le emplea como animal de carga y a veces de tiro.",sust. m.,"Burro, borrico, asno.",
BUS,Vehículo de transporte público y de trayecto fijo.,sust. m.,"Bus, autobús, microbús.",
BUSCAR,Verbo pleno Hacer algo para hallar a una persona o cosa que no se ha encontrado.,v. tr.,"Buscar, indagar.","Encontrar, hallar, descubrir, localizar."
BUZO,Vestimenta que se utiliza para realizar deportes.,sust. m.,Buzo.,
BUZÓN,Depósito en donde se echan las cartas para el correo.,sust. m.,"Buzón, casilla, casillero.",
CABALLO,Mamífero de cuello y cola con pelo largo. Se domestica fácilmente y es muy útil al hombre como animal de tiro y de paseo.,sust. m.,"Caballo, equino.",
CABRA,"Mamífero rumiante doméstico, más pequeño que la vaca, que tiene cuernos vueltos hacia atrás. Da leche y se utiliza para hacer queso.",sust. f.,Cabra.,
CACA,Excremento humano o animal.,sust. f.,"Caca, deposición, excremento, estiércol, heces.",
CAER-LIBRO,Verbo espacial locativo Un libro se desliza o se mueve de arriba hacia abajo por la acción de su propio peso.,v. intr.,Caerse.,
CAER-PERSONA,Verbo espacial locativo Una persona que pierde el equilibrio hasta dar en la tierra o cosa firme que la detenga.,v. intr.,"Caerse, precipitarse, desplomarse.","Levantarse, alzarse, pararse."
CAFÉ,Color castaño o de matices similares.,adj.,"Café, marrón.",
CAJA,Recipiente de material y forma variables que sirve para guardar o transportar alguna cosa.,sust. f.,"Caja, cofre, baúl.",
CAJERO/A,"Persona que en las tesorerías, bancos y comercio está encargada de recibir y guardar el dinero.",sust. m. y f.,"Cajero, tesorero.",
CALAMA,"Ciudad de Chile situada en el desierto de Atacama. Se la reconoce como la ciudad del cobre, mineral que se extrae del gran yacimiento a tajo abierto Chuquicamata.",sust. p.,Calama.,
CALCETÍN,Prenda de vestir que cubre el pie y parte de la pierna sin llegar a la rodilla.,sust. m.,"Calcetín, calceta, media.",
CALCULADORA,Máquina que por un procedimiento electrónico obtiene el resultado de cálculos matemáticos.,sust. f.,"Calculadora, computadora.",
CALCULAR,Verbo pleno Acción de hacer cálculos.,v. tr.,"Calcular, computar.",
CÁLEFON,Artefacto que sirve para calentar grandes cantidades de agua para uso doméstico.,sust. m.,Cálefon.,
CALENDARIO,"Lo que indica la división del tiempo en años, meses, semanas y días.",sust. m.,"Calendario, anuario, agenda.",
CALIENTE,Que tiene o produce calor.,adj.,"Caliente, caluroso, ardiente, candente, cálido.","Frío, helado."
CALLAMPA,"Cualquier especie de hongo, planta de consistencia carnosa o esponjosa. Algunas son comestibles y otras venenosas.",sust. f.,"Callampa, hongo, seta.",
CALLAR/SE,"Verbo pleno No hablar, guardar silencio.",v. intr.,"Callar, silenciar, enmudecer.","Hablar, gritar, vociferar."
CALLE,"Camino para transitar entre las casas, en una ciudad.",sust. f.,"Calle, vía, arteria, calzada, avenida.",
CALMADO/A,Estado o sensación de tranquilidad o de paz.,adj.,"Calmado, tranquilo, quieto.",
CALOR,Sensación que se experimenta debido al calentamiento del cuerpo.,sust. m.,"Calor, calentura.","Frío, frescura."
CALZÓN,Prenda interior femenina que cubre las nalgas.,sust. m.,"Calzón, bragas, bombacha.",
CAMA,"Mueble con colchón y la ropa utilizada para abrigarse, que se usa para dormir y descansar.",sust. f.,"Cama, lecho, catre, hamaca, litera, diván.",
CÁMARA-DE-VIDEO,Aparato que sirve para registrar imágenes animadas para la televisión.,sust. f.,Cámara de video.,
CÁMARA-FOTOGRÁFICA,Aparato que sirve para fijar y reproducir imágenes.,sust. f.,"Cámara fotográfica, máquina fotográfica, máquina fotográfica digital.",
CAMARÓN,"Crustáceo de mar y de río, comestible, pequeño, de antenas muy largas.",sust. m.,Camarón.,
CAMBIAR,Verbo pleno Modificar el estado de algo o de alguien.,v. tr.,"Cambiar, mudar, variar, alterar.",
CAMELLO,"Animal rumiante, más alto que el caballo. Tiene el cuello largo, la cabeza pequeña y dos jorobas de tejido adiposo en el lomo.",sust. m.,Camello.,
CAMILLA,"Cama estrecha y portátil, que se lleva sobre ruedas o a mano, y sirve para transportar enfermos, heridos o cadáveres.",sust. f.,Camilla.,
CAMINAR,Verbo espacial locativo Andar una persona una determinada distancia.,v. intr.,"Caminar, andar, marchar, transitar.","Detenerse, parar."
CAMINO,Vía que se construye para transitar.,sust. m.,"Camino, vía, ruta, calle.",
CAMIÓN,Vehículo de cuatro o más ruedas que se usa principalmente para transportar carga pesada.,sust. m.,Camión.,
CAMISA,"Prenda de vestir de hombre con cuello, mangas y abotonada por delante.",sust. f.,Camisa.,
CAMPO,"Terreno extenso fuera del poblado, que puede ser aprovechado para el cultivo o cría de animales.",sust. m.,"Campo, sembrado, prado, granja, pradera, fundo.",
CANADÁ,"País de América del Norte. Es el país más grande de América, y el segundo más grande del planeta, su capital es Ottawa. Es un país principalmente agrícola.",sust. p.,Canadá,
CANARIO,"Pájaro originario de las Islas Canarias, pequeño, de plumaje amarillo verdoso o blanco. Se caracteriza por su canto. Se cría en jaulas.",sust. m.,Canario.,
CÁNCER,"Enfermedad en la cual se invaden tejidos orgánicos, generalmente producido por tumores malignos. // 2. Cuarto signo del zodíaco.",sust. m.,Cáncer.,
CANCHA,"Terreno con dos arcos, destinado a la práctica de deportes como el fútbol.",sust. f.,"Cancha, campo, pista.",
CANDADO,"Cerradura suelta, contenida en una caja de metal que por medio de aros asegura puertas, ventanas, tapas de cofres, maletas, etc.",sust. m.,"Candado, cerradura, cerrojo.",
CANELA,"Corteza del canelo, de color café rojizo, de olor muy aromático y sabor agradable. Se utiliza en postres y bebidas.",sust. f.,Canela.,
CANSADO/A,Sensación de fatiga que exige reposo.,adj.,"Cansado, fatigado, agotado, extenuado.",Activo.
CANTAR,Verbo pleno Formar con la voz sonidos melodiosos y variados.,v. tr.,"Cantar, entonar, tararear.",
CAÑA-DE-PESCAR,"Vara larga, hueca, que lleva en su extremo más delgado un hilo de nylon con un anzuelo y una carnada y se usa para pescar.",sust. f.,Caña de pescar.,
CAPITAL,Ciudad de mayor importancia administrativa donde se concentra el gobierno de un estado.,sust. f.,Capital.,
CAPITÁN,"Oficial militar al que corresponde el mando de compañía, escuadrón o unidad.",sust. m.,Capitán.,
CAPRICORNIO,Décimo signo o parte del zodíaco.,sust. p.,Capricornio.,
CARACOL,"Molusco con concha. Algunas especies son comestibles, unas viven en el mar, otras en aguas dulces y otras son terrestres. Comúnmente se encuentran en los jardines.",sust. m.,Caracol.,
CARBÓN,"Materia sólida, liviana y muy combustible.",sust. m.,"Carbón, carboncillo, tizón.",
CARBONADA,"Guiso compuesto de carne picada, papas, zapallo, otras verduras y arroz.",sust. f.,Carbonada.,
CARIÑOSO/A,Persona que demuestra afecto hacia las personas o animales. ,adj.,"Cariñoso, afectuoso, amoroso, tierno, cordial.","Desatento, indiferente."
CARNE,Parte muscular del cuerpo de los animales o de las personas. La de algunos animales es comestible.,sust. f.,Carne.,
CARNICERÍA,Tienda o negocio donde se vende carne.,sust. f.,Carnicería.,
CARPETA,"Cubierta de cartón, plástico u otro material que sirve para guardar o archivar documentos.",sust. f.,"Carpeta, archivador.",
CARPINTERO,Persona que trabaja y labra la madera.,sust. m.,"Carpintero, tornero,ebanista",
CARTERA,"Bolsa de mano, generalmente usada por las mujeres, para llevar dinero, documentos y otros objetos de uso personal.",sust. f.,"Cartera, bolso.",
CARTÓN,"Hoja de variados tamaños y grosores. Está hecha de pasta de trapo, papel viejo y otros materiales.",sust. m.,"Cartón, cartulina.",
CASARSE,Verbo pleno Contraer matrimonio.,v. intr.,"Casarse, desposarse, vincularse, enlazarse.","Separarse, anularse, divorciarse."
CASTAÑA,"Fruto del castaño, muy sabroso, del tamaño de una nuez y cubierto de una cáscara gruesa. Se come cocido.",sust. f.,Castaña.,
CASTELLANO,Lengua española.,sust. m.,"Castellano, español.",
CASTIGAR,Verbo pleno Pena que se impone al que ha cometido un delito o falta.,v. tr.,"Castigar, condenar, sentenciar, sancionar, disciplinar.","Perdonar, indultar."
CASTILLO,"Construcción sólida, rodeada por murallas, fosos y otras fortificaciones.",sust. m.,"Castillo, fortaleza.",
CASTOR,"Mamífero roedor cubierto de pelo muy fino. Vive en el agua, se alimenta de hojas y cortezas. Construye su vivienda con ramas y barro, en ríos o lagos, haciendo diques de gran extensión. Se caza para extraer su suave piel.",sust. m.,Castor.,
CATÓLICO/A,Persona que profesa la religión católica.,adj.,"Católico, cristiano, creyente, apostólico.",
CAUQUENES,"Capital de la provincia del mismo nombre, en la Región del Maule.",sust. p.,Cauquenes.,
CAZAR,Verbo espacial locativo Buscar o seguir a los animales para cogerlos o matarlos.,v. tr.,Cazar.,
CAZUELA,"Guiso que se prepara con trozos de carne, papas, zapallo y otras verduras, que se cocina en abundante agua, produciendo un caldo.",sust. f.,Cazuela.,
CEBOLLA,Bulbo que sirve de alimento y de condimento por su aroma fuerte.,sust. f.,Cebolla.,
CELEBRAR,Verbo pleno Festejar una fecha o acontecimiento importante.,v. tr.,"Celebrar, conmemorar.",
CELESTE,"Color azul claro, color del cielo.",adj.,Celeste.,
CELOS,Sentimiento y sospecha que la persona amada haya cambiado su cariño hacia otra persona.,sust. m.,"Celos, desconfianza, recelo, inquietud.","Confianza, seguridad."
CEMENTERIO,"Lugar, generalmente cercado, destinado a enterrar cadáveres.",sust. m.,"Cementerio, camposanto.",
CENICERO,Recipiente donde se dejan las cenizas del cigarro.,sust. m.,Cenicero.,
CENTRO,Parte central de una ciudad o barrio donde se desarrolla la mayor parte de la actividad pública. // 2. Punto que se ubica en medio de una figura.,sust. m.,Centro.,Periferia.
CEPILLARSE-DIENTES,Verbo espacial locativo Quitar la suciedad de los dientes con un cepillo y pasta de dientes.,v. tr.,"Cepillarse los dientes, lavarse o escobillarse los dientes.",
CEPILLARSE-PELO,Verbo espacial locativo Pasarse un cepillo por el pelo.,v. tr.,Cepillarse el pelo.,
CERA,"Sustancia sólida, cremosa, fundible. Se usa para hacer velas y para limpiar pisos de madera principalmente.",sust. f.,"Cera, esperma, betún.",
CERCA,Inmediato o próximo en el espacio.,adv.,"Cerca, vecino, cercano.",Lejos.
CEREBRO,"Parte importante del encéfalo, situado al interior de la cavidad craneal o cabeza, existente en todos los vertebrados.",sust. m.,"Cerebro, masa encefálica.",
CEREZA,"Fruto redondo y pequeño, de color rojo, dulce y comestible.",sust. f.,"Cereza, guinda.",
CERO,"Número cardinal que expresa una cantidad nula, nada o ninguna.",adj.,"Cero, nulo.",
CERTIFICADO,Documento en el que se asegura o se da por verdadero algo.,sust. m.,"Certificado, documento, diploma.",
CERVEZA,Bebida alcohólica hecha de granos de cebada y otros cereales fermentados con agua y aromatizados con especias.,sust. f.,"Cerveza, shop.",
CESANTE,Persona que ha quedado sin trabajo.,adj.,"Cesante, inactivo, desocupado.","Trabajador, activo, ocupado."
CICLO,Periodo de tiempo o años que se vuelven a repetir una y otra vez.,sust. m.,"Ciclo, periodo, tiempo, lapso, época, fase, etapa, curso.",
CIEGO,Privado de la vista.,adj.,"Ciego, invidente, no vidente.",
CIELO,Espacio aparentemente azul y diáfano que rodea a la Tierra.,sust. m.,Cielo.,
CIENCIA,Conjunto de conocimientos que pretenden explicar algo por medio de la investigación.,sust. f.,"Ciencias, ciencias naturales, ciencias sociales.",
CIERVO,"Mamífero rumiante, de tamaño mediano, esbelto y ligero. Se caracteriza por sus astas o cuernos como ramas. Es animal indomesticable y se caza para utilizar su piel, sus astas y su carne.",sust. m.,Ciervo.,
